"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","symbol"
835.194321682526,1.24016236919322,0.10221902855653,12.1324022220322,7.11317161657903e-34,1.06351528061933e-31,"ENSG00000160200","CBS"
3239.43045397096,1.12835940419318,0.094154816436143,11.9840858588307,4.30567760618938e-33,6.38009156717134e-31,"ENSG00000174306","ZHX3"
1417.79191722316,1.03559527984312,0.0864774740728384,11.9753183236002,4.78597128760627e-33,7.02902473354989e-31,"ENSG00000128923","MINDY2"
1011.60086160952,1.34370156846036,0.112592738000477,11.9341761495726,7.85325597152245e-33,1.143268737749e-30,"ENSG00000114098","ARMC8"
993.878702726569,1.25075416207433,0.104970233571942,11.915322272929,9.84846443102833e-33,1.4212618756291e-30,"ENSG00000173918","C1QTNF1"
5047.46889147517,1.02543309437587,0.0865154430930743,11.8526017750692,2.08611607412011e-32,2.98458468673253e-30,"ENSG00000123562","MORF4L2"
5604.39126164999,1.12202990673757,0.0948836277095898,11.8253268116157,2.88776656830991e-32,4.09618580920268e-30,"ENSG00000164125","GASK1B"
1548.77328675061,1.23075024285035,0.104159994263918,11.8159592034145,3.22843036282291e-32,4.54059578825499e-30,"ENSG00000114270","COL7A1"
867.024557577974,-1.21479167395359,0.102851547328983,-11.8111171440906,3.41986855437052e-32,4.76942340574228e-30,"ENSG00000103485","QPRT"
1572.84281565562,1.19765771998641,0.101538653497258,11.7950916102975,4.13750138713018e-32,5.72216441840104e-30,"ENSG00000077684","JADE1"
4063.94572403138,1.01561343769072,0.0862671898726592,11.7728818939146,5.38528158780485e-32,7.38629200257927e-30,"ENSG00000109861","CTSC"
996.591848630783,1.57379272083277,0.134348501325221,11.7142558741541,1.07732971699887e-31,1.44188419220269e-29,"ENSG00000110756","HPS5"
15709.1719864971,1.91667209362487,0.163827466734457,11.6993330351103,1.28459162063579e-31,1.70552660288573e-29,"ENSG00000138829","FBN2"
7520.83562619791,1.54719699962438,0.132519533104373,11.6752373282647,1.70588975519349e-31,2.24690050612628e-29,"ENSG00000164442","CITED2"
1495.64770955077,-1.63932920050874,0.140600906244407,-11.6594497453601,2.05365253899429e-31,2.68365492418498e-29,"ENSG00000143320","CRABP2"
1306.01694739283,-1.35067202555044,0.116203028804546,-11.6233805559602,3.13481628653252e-31,4.06448524150732e-29,"ENSG00000144369","FAM171B"
5665.23011745403,-1.19433678631843,0.102999337800465,-11.5955773291685,4.33929605094069e-31,5.53961209703167e-29,"ENSG00000155130",NA
632.160881481862,-1.27536920521357,0.109983131985497,-11.5960437040632,4.31572141235613e-31,5.53961209703167e-29,"ENSG00000181467","RAP2B"
990.200690664718,1.0523532662434,0.0925332457870887,11.3727045592324,5.7187667505239e-30,7.24493534287745e-28,"ENSG00000196507","TCEAL3"
153.533303070454,-2.56893008287413,0.226131849033494,-11.3603196270404,6.5903075048627e-30,8.28581389020465e-28,"ENSG00000154864","PIEZO2"
3721.6744519808,1.18073748101482,0.104068052028354,11.3458209123883,7.77927325557877e-30,9.70712924432972e-28,"ENSG00000008256","CYTH3"
115.20781744327,2.48551378163022,0.219613938596701,11.3176504074025,1.07309525697288e-29,1.32903648393447e-27,"ENSG00000177283","FZD8"
2255.14282808729,-1.01840625869841,0.0903471879029544,-11.2721411959421,1.80135183467508e-29,2.21446185542724e-27,"ENSG00000116584","ARHGEF2"
670.9372433174,-2.0492689423792,0.183548533801964,-11.1647252088116,6.06785432338425e-29,7.40456693756508e-27,"ENSG00000146592","CREB5"
9211.9910283057,1.10843977798723,0.0996848117480126,11.1194449640853,1.00897727603799e-28,1.22226181555668e-26,"ENSG00000140545","MFGE8"
